Ingredient code,Ingredient description,ingredient_clean,taxon.food.description,taxon_clean,Similarity,Level.code,match,correct_code
11491,"Squash, winter, hubbard, cooked, boiled, mashed, without salt",boiled hubbard winter without mashed squash salt cooked,Squash winter mashed,winter mashed squash,0.71,73301,,
11493,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",boiled drained winter without baked squash salt cooked spaghetti,Squash winter baked,winter baked squash,0.649,73303,,
11502,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",boiled drained succotash corn lima without salt cooked frozen,Beans lima corn,bean lima corn,0.409,75301,n,41203
11506,"Sweet potato leaves, cooked, steamed, without salt",steamed cooked without sweet leaf salt potato,Sweet potatoes,potato sweet,0.611,734,n,73408
11507,"Sweet potato, raw, unprepared",potato sweet unprepared raw,Sweet potatoes,potato sweet,0.679,734,,
11508,"Sweet potato, cooked, baked in skin, flesh, without salt",cooked flesh skin without sweet baked salt potato,White potato skins fried with or without cheese,skin white without potato fried cheese,0.604,71410,n,73402
11510,"Sweet potato, cooked, boiled, without skin",boiled cooked skin without sweet potato,Sweet potato boiled,potato sweet boiled,0.757,73405,n,73403
11512,"Sweet potato, canned, vacuum pack",vacuum pack sweet canned potato,Sweet potato canned,potato sweet canned,0.649,73407,,
11518,"Taro, raw",taro raw,Taro leaves,taro leaf,0.584,72126,n,7198
11519,"Taro, cooked, without salt",cooked taro salt without,White potato skins fried with or without cheese,skin white without potato fried cheese,0.439,71410,n,7198
11520,"Taro leaves, raw",taro leaf raw,Taro leaves,taro leaf,0.912,72126,,
11527,"Tomatoes, green, raw",green tomato raw,Tomatoes green,green tomato,0.939,74102,,
11529,"Tomatoes, red, ripe, raw, year round average",red ripe average year raw round tomato,Tomatoes raw,tomato raw,0.541,741,,
11530,"Tomatoes, red, ripe, cooked",cooked red tomato ripe,Tomatoes cooked,cooked tomato,0.804,742,,
11531,"Tomatoes, red, ripe, canned, packed in tomato juice",red ripe canned juice packed tomato,Tomato juices,tomato juice,0.653,743,n,74204
11533,"Tomatoes, red, ripe, canned, stewed",red ripe stewed canned tomato,Tomatoes stewed or canned,tomato canned stewed,0.877,74204,,
11540,"Tomato juice, canned, with salt added",added salt canned juice tomato,Tomato juices,tomato juice,0.714,743,n,74204
11546,"Tomato products, canned, paste, without salt added",without added canned paste salt product tomato,Tomatoes stewed or canned,tomato canned stewed,0.53,74204,n,74403
11547,"Tomato products, canned, puree, without salt added",puree without added canned salt product tomato,Tomatoes stewed or canned,tomato canned stewed,0.479,74204,n,744
